n,T_log_d3,T_log_d5
10,-2.302585092994046,2.302585092994046
213,-5.3612921657094255,5.3612921657094255
417,-6.0330862217988015,6.0330862217988015
621,-6.431331081933479,6.431331081933479
825,-6.715383386334681,6.715383386334681
1029,-6.9363427358340495,6.9363427358340495
1233,-7.117205503164344,7.117205503164344
1437,-7.270312886079025,7.270312886079025
1641,-7.403061091090091,7.403061091090091
1844,-7.519692404116539,7.519692404116539
2048,-7.6246189861593985,7.6246189861593985
2252,-7.719573989259581,7.719573989259581
2456,-7.806289289267033,7.806289289267033
2660,-7.886081401775745,7.886081401775745
2864,-7.9599745280805365,7.9599745280805365
3068,-8.028781162487148,8.028781162487148
3272,-8.093156697722637,8.093156697722637
3475,-8.153349757998892,8.153349757998892
3679,-8.210396255104774,8.210396255104774
3883,-8.264363329731667,8.264363329731667
4087,-8.315566483564277,8.315566483564277
4291,-8.364275084991524,8.364275084991524
4495,-8.410720946905721,8.410720946905721
4699,-8.455104999102815,8.455104999102815
4903,-8.497602541651233,8.497602541651233
5106,-8.53817159780143,8.53817159780143
5310,-8.577347114235984,8.577347114235984
5514,-8.615045591583742,8.615045591583742
5718,-8.651374372882257,8.651374372882257
5922,-8.686429508661536,8.686429508661536
6126,-8.72029728739272,8.72029728739272
6330,-8.753055515138222,8.753055515138222
6534,-8.784774592161016,8.784774592161016
6737,-8.81537000096066,8.81537000096066
6941,-8.845201135339584,8.845201135339584
7145,-8.874168090363968,8.874168090363968
7349,-8.90231952852887,8.90231952852887
7553,-8.929700114313448,8.929700114313448
7757,-8.956350940490871,8.956350940490871
7961,-8.982309899088579,8.982309899088579
8165,-9.007612005404566,9.007612005404566
8368,-9.032170186304704,9.032170186304704
8572,-9.056256356593467,9.056256356593467
8776,-9.079776001955066,9.079776001955066
8980,-9.102755161296246,9.102755161296246
9184,-9.125218118559348,9.125218118559348
9388,-9.147187556970914,9.147187556970914
9592,-9.16868469670735,9.16868469670735
9796,-9.189729418072059,9.189729418072059
10000,-9.210340371976184,9.210340371976184
