diag,n_nodes_sub,n_eig_computed,n_lambda_total,n_points_fit,lambda_max_fit,fit_ok,slope,stderr_slope,r_value,d_s_est
1,1953,200,200,17,0.2,True,0.15422940718539307,0.029132303125044858,0.8070848398848588,0.30845881437078615
2,1953,200,200,17,0.2,True,0.14587068784344107,0.028121394667537113,0.8012883513988934,0.29174137568688213
3,1953,200,200,16,0.2,True,0.14777847181360856,0.028638204856601124,0.8095714987794329,0.29555694362721713
4,1953,200,200,17,0.2,True,0.1510167954087817,0.02881243379509042,0.8042551333238053,0.3020335908175634
5,1953,200,200,17,0.2,True,0.15175046939217773,0.029019846937363494,0.8035935916841149,0.30350093878435547
6,1953,200,200,17,0.2,True,0.1544016346523667,0.02921759468402788,0.8065758749701049,0.3088032693047334
7,1953,200,200,17,0.2,True,0.1496252051441229,0.028728046905785894,0.8024534059377854,0.2992504102882458
8,1953,200,200,18,0.2,True,0.1540776795693573,0.028879775899655322,0.8000975880319984,0.3081553591387146
9,1953,200,200,16,0.2,True,0.14611038315939942,0.02845725291247773,0.8081695199372914,0.29222076631879884
10,1953,200,200,16,0.2,True,0.14034604128673706,0.027765309372298232,0.8037537021755287,0.2806920825734741
11,1953,200,200,18,0.2,True,0.15418814078866264,0.029298871133092267,0.7961311063734089,0.3083762815773253
12,1953,200,200,16,0.2,True,0.1497930894030824,0.02890554573411174,0.8107543632927794,0.2995861788061648
13,1953,200,200,17,0.2,True,0.15289977705802388,0.028918570330066368,0.8067203013570944,0.30579955411604776
14,1953,200,200,17,0.2,True,0.1410628538632571,0.027696180163940074,0.7960015732931304,0.2821257077265142
15,1953,200,200,16,0.2,True,0.15059802960430554,0.028874071737741154,0.8125403795444806,0.3011960592086111
16,1953,200,200,16,0.2,True,0.14420484388549426,0.028087706890163152,0.8081536786432845,0.2884096877709885
17,1953,200,200,17,0.2,True,0.14850829267260496,0.02844086913036582,0.8031822846280562,0.2970165853452099
18,1953,200,200,17,0.2,True,0.15192482278882813,0.028740042128452884,0.8066627626827981,0.30384964557765626
19,1953,200,200,18,0.2,True,0.15403122178072864,0.02902699035158358,0.7985430314972616,0.3080624435614573
20,1953,200,200,17,0.2,True,0.15015517490645114,0.028687795109741242,0.8038610380605443,0.3003103498129023
