quarter,n,T_log,regime
2001Q1,28,0.0,Equilibrium
2002Q1,25,0.0,Equilibrium
2003Q1,31,0.0,Equilibrium
2004Q1,32,0.0,Equilibrium
2005Q1,28,0.0,Equilibrium
2006Q1,26,0.0,Equilibrium
2007Q1,37,0.0,Equilibrium
2008Q1,25,0.0,Equilibrium
2009Q1,26,0.0,Equilibrium
2010Q1,41,0.0,Equilibrium
2011Q1,34,0.0,Equilibrium
2012Q1,31,0.0,Equilibrium
2013Q1,53,0.0,Equilibrium
2014Q1,48,0.0,Equilibrium
2015Q1,53,0.0,Equilibrium
2016Q1,43,0.0,Equilibrium
2017Q1,36,0.0,Equilibrium
2018Q1,43,0.0,Equilibrium
2019Q1,33,0.0,Equilibrium
2020Q1,27,0.0,Equilibrium
2021Q1,42,0.0,Equilibrium
2022Q1,40,0.0,Equilibrium
