bucket,kernel,d,n_eff,T_log,Regime
2001,EMA_alpha0.5,3.95,28.0,-0.1666102255087596,Divergence
2002,EMA_alpha0.5,3.95,26.5,-0.16385723664960825,Divergence
2003,EMA_alpha0.5,3.95,28.75,-0.16793188836216738,Divergence
2004,EMA_alpha0.5,3.95,30.375,-0.17068099508303503,Divergence
2005,EMA_alpha0.5,3.95,29.1875,-0.1686870267714552,Divergence
2006,EMA_alpha0.5,3.95,27.59375,-0.1658794648902111,Divergence
2007,EMA_alpha0.5,3.95,32.296875,-0.1737485238161042,Divergence
2008,EMA_alpha0.5,3.95,28.6484375,-0.16775494520758485,Divergence
2009,EMA_alpha0.5,3.95,27.32421875,-0.16538867213100036,Divergence
2010,EMA_alpha0.5,3.95,34.162109375,-0.17655585584337713,Divergence
2011,EMA_alpha0.5,3.95,34.0810546875,-0.1764370824442705,Divergence
2012,EMA_alpha0.5,3.95,32.54052734375,-0.1741243153837618,Divergence
2013,EMA_alpha0.5,3.95,42.770263671875,-0.18779215435494026,Divergence
2014,EMA_alpha0.5,3.95,45.3851318359375,-0.19075922794046904,Divergence
2015,EMA_alpha0.5,3.95,49.19256591796875,-0.19478712564266665,Divergence
2016,EMA_alpha0.5,3.95,46.096282958984375,-0.1915366158397432,Divergence
2017,EMA_alpha0.5,3.95,41.04814147949219,-0.18573727801589449,Divergence
2018,EMA_alpha0.5,3.95,42.024070739746094,-0.18691212834840015,Divergence
2019,EMA_alpha0.5,3.95,37.51203536987305,-0.1812330912340858,Divergence
2020,EMA_alpha0.5,3.95,32.25601768493652,-0.1736852310358431,Divergence
2021,EMA_alpha0.5,3.95,37.12800884246826,-0.18071858200502758,Divergence
2022,EMA_alpha0.5,3.95,38.56400442123413,-0.18261596567243915,Divergence
2001,Boxcar_W5,3.95,28.0,-0.1666102255087596,Divergence
2002,Boxcar_W5,3.95,28.200000000000003,-0.1669660988972028,Divergence
2003,Boxcar_W5,3.95,28.800000000000004,-0.16801876935709442,Divergence
2004,Boxcar_W5,3.95,28.400000000000002,-0.16731945725835742,Divergence
2005,Boxcar_W5,3.95,30.800000000000004,-0.17137573449897583,Divergence
2006,Boxcar_W5,3.95,29.6,-0.16938871806650013,Divergence
2007,Boxcar_W5,3.95,28.400000000000002,-0.16731945725835742,Divergence
2008,Boxcar_W5,3.95,31.0,-0.1716993602242567,Divergence
2009,Boxcar_W5,3.95,32.60000000000001,-0.1742156144186325,Divergence
2010,Boxcar_W5,3.95,31.4,-0.17234039464570977,Divergence
2011,Boxcar_W5,3.95,37.0,-0.18054589563221057,Divergence
2012,Boxcar_W5,3.95,41.400000000000006,-0.18616404404156278,Divergence
2013,Boxcar_W5,3.95,43.800000000000004,-0.18898169086911934,Divergence
2014,Boxcar_W5,3.95,45.6,-0.19099538582601636,Divergence
2015,Boxcar_W5,3.95,46.60000000000001,-0.19208002705657934,Divergence
2016,Boxcar_W5,3.95,44.60000000000001,-0.18988669295130026,Divergence
2017,Boxcar_W5,3.95,41.6,-0.18640500836336024,Divergence
2018,Boxcar_W5,3.95,36.4,-0.17972843873213412,Divergence
2019,Boxcar_W5,3.95,36.2,-0.17945295594158564,Divergence
2020,Boxcar_W5,3.95,37.0,-0.18054589563221057,Divergence
2021,Boxcar_W5,3.95,36.8,-0.18027489225874363,Divergence
2022,Boxcar_W5,3.95,35.6,-0.1786172818928986,Divergence
2001,EMA_alpha0.5,4.05,28.0,0.1666102255087596,Saturation
2002,EMA_alpha0.5,4.05,26.5,0.16385723664960825,Saturation
2003,EMA_alpha0.5,4.05,28.75,0.16793188836216738,Saturation
2004,EMA_alpha0.5,4.05,30.375,0.17068099508303503,Saturation
2005,EMA_alpha0.5,4.05,29.1875,0.1686870267714552,Saturation
2006,EMA_alpha0.5,4.05,27.59375,0.1658794648902111,Saturation
2007,EMA_alpha0.5,4.05,32.296875,0.1737485238161042,Saturation
2008,EMA_alpha0.5,4.05,28.6484375,0.16775494520758485,Saturation
2009,EMA_alpha0.5,4.05,27.32421875,0.16538867213100036,Saturation
2010,EMA_alpha0.5,4.05,34.162109375,0.17655585584337713,Saturation
2011,EMA_alpha0.5,4.05,34.0810546875,0.1764370824442705,Saturation
2012,EMA_alpha0.5,4.05,32.54052734375,0.1741243153837618,Saturation
2013,EMA_alpha0.5,4.05,42.770263671875,0.18779215435494026,Saturation
2014,EMA_alpha0.5,4.05,45.3851318359375,0.19075922794046904,Saturation
2015,EMA_alpha0.5,4.05,49.19256591796875,0.19478712564266665,Saturation
2016,EMA_alpha0.5,4.05,46.096282958984375,0.1915366158397432,Saturation
2017,EMA_alpha0.5,4.05,41.04814147949219,0.18573727801589449,Saturation
2018,EMA_alpha0.5,4.05,42.024070739746094,0.18691212834840015,Saturation
2019,EMA_alpha0.5,4.05,37.51203536987305,0.1812330912340858,Saturation
2020,EMA_alpha0.5,4.05,32.25601768493652,0.1736852310358431,Saturation
2021,EMA_alpha0.5,4.05,37.12800884246826,0.18071858200502758,Saturation
2022,EMA_alpha0.5,4.05,38.56400442123413,0.18261596567243915,Saturation
2001,Boxcar_W5,4.05,28.0,0.1666102255087596,Saturation
2002,Boxcar_W5,4.05,28.200000000000003,0.1669660988972028,Saturation
2003,Boxcar_W5,4.05,28.800000000000004,0.16801876935709442,Saturation
2004,Boxcar_W5,4.05,28.400000000000002,0.16731945725835742,Saturation
2005,Boxcar_W5,4.05,30.800000000000004,0.17137573449897583,Saturation
2006,Boxcar_W5,4.05,29.6,0.16938871806650013,Saturation
2007,Boxcar_W5,4.05,28.400000000000002,0.16731945725835742,Saturation
2008,Boxcar_W5,4.05,31.0,0.1716993602242567,Saturation
2009,Boxcar_W5,4.05,32.60000000000001,0.1742156144186325,Saturation
2010,Boxcar_W5,4.05,31.4,0.17234039464570977,Saturation
2011,Boxcar_W5,4.05,37.0,0.18054589563221057,Saturation
2012,Boxcar_W5,4.05,41.400000000000006,0.18616404404156278,Saturation
2013,Boxcar_W5,4.05,43.800000000000004,0.18898169086911934,Saturation
2014,Boxcar_W5,4.05,45.6,0.19099538582601636,Saturation
2015,Boxcar_W5,4.05,46.60000000000001,0.19208002705657934,Saturation
2016,Boxcar_W5,4.05,44.60000000000001,0.18988669295130026,Saturation
2017,Boxcar_W5,4.05,41.6,0.18640500836336024,Saturation
2018,Boxcar_W5,4.05,36.4,0.17972843873213412,Saturation
2019,Boxcar_W5,4.05,36.2,0.17945295594158564,Saturation
2020,Boxcar_W5,4.05,37.0,0.18054589563221057,Saturation
2021,Boxcar_W5,4.05,36.8,0.18027489225874363,Saturation
2022,Boxcar_W5,4.05,35.6,0.1786172818928986,Saturation
