d,kernel,n_eff_global,noise_frac,n_noisy,T_log,Regime
3.95,EMA_alpha0.5,771,0.01,779,-0.3329005522935362,Divergence
3.95,EMA_alpha0.5,771,-0.01,763,-0.33186290156422166,Divergence
3.95,EMA_alpha0.5,771,0.05,810,-0.334851712383323,Divergence
3.95,EMA_alpha0.5,771,-0.05,732,-0.3297890256980644,Divergence
3.95,EMA_alpha0.5,771,0.1,848,-0.33714403178959396,Divergence
3.95,EMA_alpha0.5,771,-0.1,694,-0.3271235980253391,Divergence
3.95,EMA_alpha0.5,771,0.2,925,-0.34148968687562004,Divergence
3.95,EMA_alpha0.5,771,-0.2,617,-0.32124345119526826,Divergence
3.95,Boxcar_W5,780,0.01,788,-0.3334749044928928,Divergence
3.95,Boxcar_W5,780,-0.01,772,-0.3324492275012376,Divergence
3.95,Boxcar_W5,780,0.05,819,-0.3354042041926523,Divergence
3.95,Boxcar_W5,780,-0.05,741,-0.33040003126480316,Divergence
3.95,Boxcar_W5,780,0.1,858,-0.33773020497439693,Divergence
3.95,Boxcar_W5,780,-0.1,702,-0.3276966702012894,Divergence
3.95,Boxcar_W5,780,0.2,936,-0.34208077382387836,Divergence
3.95,Boxcar_W5,780,-0.2,624,-0.3218075184184703,Divergence
4.05,EMA_alpha0.5,771,0.01,779,0.3329005522935362,Saturation
4.05,EMA_alpha0.5,771,-0.01,763,0.33186290156422166,Saturation
4.05,EMA_alpha0.5,771,0.05,810,0.334851712383323,Saturation
4.05,EMA_alpha0.5,771,-0.05,732,0.3297890256980644,Saturation
4.05,EMA_alpha0.5,771,0.1,848,0.33714403178959396,Saturation
4.05,EMA_alpha0.5,771,-0.1,694,0.3271235980253391,Saturation
4.05,EMA_alpha0.5,771,0.2,925,0.34148968687562004,Saturation
4.05,EMA_alpha0.5,771,-0.2,617,0.32124345119526826,Saturation
4.05,Boxcar_W5,780,0.01,788,0.3334749044928928,Saturation
4.05,Boxcar_W5,780,-0.01,772,0.3324492275012376,Saturation
4.05,Boxcar_W5,780,0.05,819,0.3354042041926523,Saturation
4.05,Boxcar_W5,780,-0.05,741,0.33040003126480316,Saturation
4.05,Boxcar_W5,780,0.1,858,0.33773020497439693,Saturation
4.05,Boxcar_W5,780,-0.1,702,0.3276966702012894,Saturation
4.05,Boxcar_W5,780,0.2,936,0.34208077382387836,Saturation
4.05,Boxcar_W5,780,-0.2,624,0.3218075184184703,Saturation
